Title,Rate,Rating people,Directors,Script writers,Actors,Genres,Production countries and regions,Languages,Initial release date,Other names,IMDb link
肖申克的救赎,9.6,947786,"[""弗兰克·德拉邦特""]","[""弗兰克·德拉邦特"",""斯蒂芬·金""]","[""蒂姆·罗宾斯"",""摩根·弗里曼"",""鲍勃·冈顿"",""威廉姆·赛德勒"",""克兰西·布朗"",""吉尔·贝罗斯"",""马克·罗斯顿"",""詹姆斯·惠特摩"",""杰弗里·德曼"",""拉里·布兰登伯格"",""尼尔·吉恩托利"",""布赖恩·利比"",""大卫·普罗瓦尔"",""约瑟夫·劳格诺"",""祖德·塞克利拉""]","[""剧情"",""犯罪""]"," 美国"," 英语","[""1994-09-10(多伦多电影节)"",""1994-10-14(美国)""]"," 月黑高飞(港) / 刺激1995(台) / 地狱诺言 / 铁窗岁月 / 消香克的救赎",http://www.imdb.com/title/tt0111161
这个杀手不太冷,9.4,897732,"[""吕克·贝松""]","[""吕克·贝松""]","[""让·雷诺"",""娜塔莉·波特曼"",""加里·奥德曼"",""丹尼·爱罗"",""彼得·阿佩尔"",""迈克尔·巴达鲁科"",""艾伦·格里尼"",""伊丽莎白·瑞根"",""卡尔·马图斯维奇"",""弗兰克·赛格"",""麦温"",""乔治·马丁"",""罗伯特·拉萨多"",""亚当·布斯奇"",""马里奥·托迪斯科"",""萨米·纳塞利""]","[""剧情"",""动作"",""犯罪""]"," 法国"," 英语 / 意大利语 / 法语","[""1994-09-14(法国)""]"," 杀手莱昂 / 终极追杀令(台) / 杀手里昂 / Leon / Leon: The Professional",http://www.imdb.com/title/tt0110413
阿甘正传,9.4,763366,"[""罗伯特·泽米吉斯""]","[""艾瑞克·罗斯"",""Winston Groom""]","[""汤姆·汉克斯"",""罗宾·怀特"",""加里·西尼斯"",""麦凯尔泰·威廉逊"",""莎莉·菲尔德"",""Michael Conner Humphreys"",""海利·乔·奥斯蒙""]","[""剧情"",""爱情""]"," 美国"," 英语","[""1994-06-23(洛杉矶首映)"",""1994-07-06(美国)""]"," 福雷斯特·冈普",http://www.imdb.com/title/tt0109830
盗梦空间,9.3,809414,"[""克里斯托弗·诺兰""]","[""克里斯托弗·诺兰""]","[""莱昂纳多·迪卡普里奥"",""约瑟夫·高登-莱维特"",""艾伦·佩吉"",""汤姆·哈迪"",""渡边谦"",""迪利普·劳"",""基里安·墨菲"",""汤姆·贝伦杰"",""玛丽昂·歌迪亚"",""皮特·波斯尔思韦特"",""迈克尔·凯恩"",""卢卡斯·哈斯"",""李太力"",""克莱尔·吉尔蕾"",""马格努斯·诺兰"",""泰勒·吉蕾"",""乔纳森·吉尔"",""水源士郎"",""冈本玉二"",""厄尔·卡梅伦"",""瑞恩·海沃德"",""米兰达·诺兰"",""拉什·费加"",""蒂姆·科勒赫"",""妲露拉·莱莉""]","[""剧情"",""动作"",""科幻"",""悬疑"",""冒险""]"," 美国 / 英国"," 英语 / 日语 / 法语","[""2010-09-01(中国大陆)"",""2010-07-08(伦敦首映)"",""2010-07-16(美国)""]"," 潜行凶间(港) / 全面启动(台) / 奠基 / 心灵犯案 / 记忆迷阵 / 记忆魔方",http://www.imdb.com/title/tt1375666
泰坦尼克号,9.2,704201,"[""詹姆斯·卡梅隆""]","[""詹姆斯·卡梅隆""]","[""莱昂纳多·迪卡普里奥"",""凯特·温丝莱特"",""比利·赞恩"",""凯西·贝茨"",""弗兰西丝·费舍"",""格劳瑞亚·斯图尔特"",""比尔·帕克斯顿"",""伯纳德·希尔"",""大卫·沃纳"",""维克多·加博"",""乔纳森·海德"",""苏茜·爱米斯"",""刘易斯·阿伯内西"",""尼古拉斯·卡斯柯恩"",""阿那托利·萨加洛维奇"",""丹尼·努齐"",""杰森·贝瑞"",""伊万·斯图尔特"",""艾恩·格拉法德"",""乔纳森·菲利普斯"",""马克·林赛·查普曼"",""理查德·格拉翰"",""保罗·布赖特威尔"",""艾瑞克·布里登"",""夏洛特·查顿"",""博纳德·福克斯"",""迈克尔·英塞恩"",""法妮·布雷特"",""马丁·贾维斯"",""罗莎琳·艾尔斯"",""罗切尔·罗斯"",""乔纳森·伊万斯-琼斯"",""西蒙·克雷恩"",""爱德华德·弗莱彻"",""斯科特·安德森"",""马丁·伊斯特"",""克雷格·凯利"",""格雷戈里·库克"",""利亚姆·图伊"",""詹姆斯·兰开斯特"",""艾尔莎·瑞雯"",""卢·帕尔特"",""泰瑞·佛瑞斯塔"",""凯文·德·拉·诺伊""]","[""剧情"",""爱情"",""灾难""]"," 美国"," 英语 / 意大利语 / 德语 / 俄语","[""1998-04-03(中国大陆)"",""1997-11-01(东京电影节)"",""1997-12-19(美国)""]"," 铁达尼号(港/台)",http://www.imdb.com/title/tt0120338
千与千寻,9.2,713362,"[""宫崎骏""]","[""宫崎骏""]","[""柊瑠美"",""入野自由"",""夏木真理"",""菅原文太"",""内藤刚志"",""神木隆之介"",""泽口靖子"",""我修院达也""]","[""剧情"",""动画"",""奇幻""]"," 日本"," 日语","[""2001-07-20(日本)""]"," 神隐少女(台) / Spirited Away / A Voyage of Chihiro / Sen to Chihiro no kamikakushi",http://www.imdb.com/title/tt0245429
三傻大闹宝莱坞,9.1,719842,"[""拉吉库马尔·希拉尼""]","[""维德胡·维诺德·乔普拉"",""拉吉库马尔·希拉尼"",""阿西奇·乔希""]","[""阿米尔·汗"",""卡琳娜·卡普尔"",""马达范"",""沙尔曼·乔希"",""奥米·瓦依达"",""博曼·伊拉尼"",""莫娜·辛格"",""拉杰夫·拉宾德拉纳特安""]","[""剧情"",""喜剧"",""爱情"",""歌舞""]"," 印度"," 印地语 / 乌尔都语 / 英语","[""2011-12-08(中国大陆)"",""2009-12-25(印度)""]"," 三个傻瓜(台) / 作死不离3兄弟(港) / 三个白痴 / 三个傻蛋 / 三个呆瓜 / 三生万悟 / 寻找兰彻 / Three Idiots",http://www.imdb.com/title/tt1187043
霸王别姬,9.5,686680,"[""陈凯歌""]","[""芦苇"",""李碧华""]","[""张国荣"",""张丰毅"",""巩俐"",""葛优"",""英达"",""蒋雯丽"",""吴大维"",""吕齐"",""雷汉"",""尹治"",""马明威"",""费振翔"",""智一桐"",""李春"",""赵海龙"",""李丹"",""童弟"",""沈慧芬"",""黄斐""]","[""剧情"",""爱情"",""同性""]"," 中国大陆 / 香港"," 汉语普通话","[""1993-01-01(香港)""]"," 再见，我的妾 / Farewell My Concubine",http://www.imdb.com/title/tt0106332
让子弹飞,8.7,643676,"[""姜文""]","[""朱苏进"",""述平"",""姜文"",""郭俊立"",""危笑"",""李不空"",""马识途""]","[""姜文"",""葛优"",""周润发"",""刘嘉玲"",""陈坤"",""张默"",""姜武"",""周韵"",""廖凡"",""姚橹"",""邵兵"",""苗圃"",""冯小刚"",""胡军"",""马珂"",""白冰"",""杜奕衡"",""李静"",""胡明"",""危笑"",""杨奇雨"",""赵铭""]","[""剧情"",""喜剧"",""动作"",""西部""]"," 中国大陆 / 香港"," 汉语普通话 / 四川话 / 山西话","[""2010-12-16(中国大陆)""]"," 让子弹飞一会儿 / 火烧云 / Let The Bullets Fly",http://www.imdb.com/title/tt1533117
海上钢琴师,9.2,629416,"[""朱塞佩·托纳多雷""]","[""亚利桑德罗·巴里克"",""朱塞佩·托纳多雷""]","[""蒂姆·罗斯"",""普路特·泰勒·文斯"",""比尔·努恩"",""梅兰尼·蒂埃里"",""阿尔贝托·巴斯克斯""]","[""剧情"",""音乐""]"," 意大利"," 英语 / 法语","[""1998-10-28(意大利)""]"," 声光伴我飞(港) / 一九零零的传奇 / 1900海上钢琴师 / 传奇1900 / The Legend of 1900",http://www.imdb.com/title/tt0120731
